"LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","MasVnrArea","TotalBsmtSF","1stFlrSF","2ndFlrSF","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","Fireplaces","GarageCars","PoolArea","SalePrice"
24,2280,6,6,1975,0,855,855,601,0,0,0,2,1,3,1,1,2,0,149900
24,2280,7,6,1975,0,836,836,0,0,0,0,1,0,2,1,0,1,0,120000
24,2280,6,5,1978,0,855,855,601,0,0,0,2,1,3,1,1,2,0,146000
102,12858,9,5,2009,162,1590,1627,707,0,0,0,2,1,3,1,1,3,0,376162
98,11478,8,5,2007,200,1704,1704,0,0,1,0,2,0,3,1,1,3,0,306000
83,10159,9,5,2009,450,1930,1940,0,0,1,0,2,1,3,1,1,3,0,395192
94,12883,8,5,2009,256,1544,1544,0,0,0,0,2,0,3,1,0,3,0,290941
95,12182,7,5,2005,226,1541,1541,0,0,0,0,2,0,3,1,1,2,0,220000
90,11520,9,5,2005,615,1698,1698,0,0,0,0,2,0,3,1,1,3,0,275000
79,14122,8,5,2005,240,1822,1822,0,0,0,0,2,0,3,1,1,3,0,259000
70,10171,7,5,2004,168,1517,1535,0,0,0,0,2,0,3,1,0,2,0,214000
100,12919,9,5,2009,760,2330,2364,0,0,1,0,2,1,2,1,2,3,0,611657
44,6371,7,5,2009,128,1358,1358,0,0,1,0,2,0,2,1,1,2,0,224000
110,14300,9,5,2003,1095,2846,2696,0,0,1,0,2,1,3,1,2,3,0,500000
105,13650,8,5,2002,232,1671,1687,563,0,1,0,2,1,3,1,1,3,0,320000
61,7658,9,5,2005,412,1752,1752,0,0,1,0,2,0,2,1,1,2,0,319900
41,7132,8,5,2006,178,1370,1370,0,0,0,0,2,0,2,1,1,2,0,205000
36,2628,7,5,2003,106,764,764,862,0,0,0,2,1,2,1,0,2,0,175500
100,18494,6,5,2005,0,1324,1324,0,0,0,0,2,0,3,1,0,2,0,199500
43,3203,7,5,2006,14,1145,1145,0,0,0,0,2,0,2,1,0,2,0,160000
43,3182,8,5,2004,16,1256,1269,0,0,0,0,2,0,2,1,1,2,0,192000
67,13300,7,5,2004,0,384,744,630,0,1,0,2,1,3,1,1,2,0,184500
,7851,6,5,2002,,860,860,1100,0,1,0,2,1,4,1,2,2,0,216500
63,8577,7,5,2004,0,847,847,886,0,0,0,2,1,3,1,1,2,0,185088
,7750,7,5,2000,0,384,774,656,0,0,0,2,1,3,1,1,2,0,180000
,9505,7,5,2001,180,884,884,1151,0,0,0,2,1,3,1,1,2,0,222500
108,14774,9,5,1999,165,1393,1422,1177,0,0,0,2,1,4,1,1,3,0,333168
60,17433,8,5,1998,114,1629,1645,830,0,0,0,2,1,4,1,1,3,0,355000
59,10593,7,5,1996,338,1720,1720,0,0,1,0,2,0,3,1,1,2,0,260400
98,12256,8,5,1994,362,1463,1500,1122,0,1,0,2,1,3,1,2,2,0,325000
92,11764,8,7,1999,348,1152,1164,1106,0,0,0,2,1,4,1,1,3,0,290000
58,16770,7,5,1998,30,1195,1195,644,0,0,0,2,1,4,1,0,2,0,221000
56,14720,8,5,1995,579,2033,2053,1185,0,1,0,2,1,4,1,1,3,0,410000
73,8987,8,5,2005,226,1595,1595,0,0,0,0,2,0,2,1,1,3,0,221500
92,9215,7,5,2009,0,1218,1218,0,0,0,0,2,0,2,1,0,2,0,204500
72,8640,7,5,2009,0,756,764,783,0,0,0,2,1,3,1,0,2,0,215200
75,9000,8,5,2008,36,1566,1566,0,0,1,0,2,0,3,1,0,2,0,262500
100,12552,7,5,2004,0,991,991,956,0,0,0,2,1,3,1,1,2,0,254900
84,10440,6,5,2005,0,1468,1468,0,0,1,0,2,0,2,1,1,2,0,271500
76,10142,7,5,2004,0,956,956,1128,0,1,0,2,1,4,1,0,2,0,233000
70,11920,7,5,2004,122,831,831,828,0,0,0,2,1,3,1,0,2,0,181000
,8880,7,5,1994,0,948,1222,888,0,1,0,2,1,3,1,2,2,0,205000
50,8012,6,5,1980,0,923,923,0,0,0,0,2,0,2,1,1,1,0,143000
70,11218,6,5,1992,0,1055,1055,790,0,0,0,2,1,3,1,1,2,0,189000
55,7892,6,5,1979,0,918,918,0,0,0,0,2,0,2,1,1,1,0,99500
50,7175,6,5,1984,0,744,752,0,0,1,0,1,0,2,1,0,1,0,125000
,9453,7,7,1993,0,996,1014,730,0,0,0,2,1,3,1,0,2,0,194500
81,9672,6,5,1984,0,1040,1097,0,0,0,0,2,0,3,1,0,2,0,152000
70,8400,6,6,1980,130,650,888,676,0,0,0,2,1,3,1,1,2,0,171000
70,9800,5,5,1920,0,816,1012,0,0,0,0,1,0,2,1,0,1,0,67500
68,8930,6,5,1978,0,0,1318,584,0,0,0,2,0,4,2,0,2,0,112000
88,11782,5,7,1961,0,1109,1155,0,0,1,0,1,0,3,1,0,2,0,148000
65,8450,5,8,1965,0,894,894,0,0,1,0,1,0,3,1,1,1,0,138500
,9819,5,5,1967,31,882,900,0,0,0,0,1,0,3,1,0,1,0,122000
75,7500,5,5,1963,0,1040,1040,0,0,1,0,1,1,3,1,0,1,0,133000
,6897,5,8,1962,0,1040,1040,0,0,1,0,1,1,3,1,0,1,0,127000
39,15410,6,6,1974,250,1208,1494,0,0,1,0,2,0,3,1,2,2,0,169000
107,10186,7,5,1992,0,750,1061,862,0,1,0,2,1,3,1,1,2,0,190000
85,13143,8,5,1993,504,1231,1251,1098,0,1,0,2,1,4,1,1,3,0,362500
88,11134,8,5,1992,180,1390,1402,823,0,1,0,2,1,4,1,1,3,0,285000
25,4835,7,5,2004,0,1488,1488,0,0,1,0,2,0,2,1,1,2,0,260000
39,3515,7,5,2004,0,840,840,840,0,0,0,2,1,2,1,0,2,0,190000
30,3215,7,5,2004,120,600,600,600,0,0,0,2,1,2,1,0,2,0,155000
30,3182,7,5,2004,0,600,600,600,0,0,0,2,1,2,1,0,2,0,151000
24,2544,7,5,2004,0,600,600,600,0,1,0,2,1,2,1,0,2,0,149500
24,2544,6,5,2005,216,600,600,636,0,1,0,2,1,2,1,0,2,0,152000
,4403,7,5,2009,432,1470,1478,0,0,1,0,2,1,2,1,1,2,0,222000
,2117,6,5,2000,216,756,769,804,0,0,0,2,1,3,1,0,2,0,177500
,2980,6,5,2000,1159,756,756,756,0,1,0,2,1,2,1,0,2,0,177000
24,2572,7,5,1999,0,696,696,720,0,1,0,2,1,3,1,0,2,0,155000
,2403,7,5,2003,0,530,530,550,0,0,0,2,1,2,1,0,2,0,147110
57,12853,8,5,2010,0,1642,1418,0,0,1,0,1,1,1,1,1,3,0,267916
68,7379,8,5,2000,0,975,975,873,0,1,0,2,1,3,1,1,2,0,254000
30,4420,8,5,1980,0,728,788,0,0,1,0,1,0,1,1,1,2,0,155000
40,3880,8,6,1978,0,1226,1226,0,0,1,0,1,0,1,1,1,2,0,206000
,13517,6,8,1976,289,725,725,754,0,0,0,2,1,3,1,0,2,0,130500
80,8000,7,5,2002,0,1492,1492,0,0,1,0,2,0,3,1,1,2,0,230000
,10456,6,6,1967,120,1829,1829,0,0,1,0,2,0,4,1,0,2,0,218500
80,10791,6,5,1993,0,1280,1280,1215,0,1,0,2,1,4,1,1,2,0,243500
,10603,6,7,1977,28,1610,1610,0,0,1,0,2,0,3,1,2,2,0,205000
,18837,6,5,1978,0,1224,1287,604,0,0,1,3,0,3,1,1,2,0,212500
80,10421,7,5,1988,42,980,980,734,0,0,0,2,1,3,1,1,2,0,196500
78,9360,6,7,1972,0,1161,1381,0,0,1,0,1,1,3,1,1,2,0,197500
80,9600,6,6,1971,0,715,930,715,0,0,0,1,2,4,1,0,2,0,171000
80,9600,5,5,1966,172,1232,1232,0,0,1,0,1,1,3,1,0,2,0,142250
,9790,6,5,1963,451,1328,1328,0,0,1,0,1,1,3,1,2,2,0,143000
77,9320,4,5,1959,0,950,1225,0,0,1,0,1,1,3,1,0,0,0,128950
90,9900,5,5,1966,0,1209,1209,0,0,1,0,1,0,3,1,0,2,0,159000
88,9680,5,6,1967,268,1510,1510,0,0,1,0,2,0,3,1,0,2,0,178900
,10600,6,5,1964,0,533,1131,644,0,0,0,2,0,3,1,0,2,0,136300
,14112,5,7,1964,86,1152,1152,0,0,1,0,1,0,3,1,1,2,0,180500
80,8800,6,7,1963,156,936,1054,0,0,1,0,1,0,3,1,0,2,0,137500
98,13260,5,6,1962,144,1728,1728,0,0,2,0,2,0,6,2,0,0,0,84900
68,9717,5,6,1950,0,1078,1078,0,0,1,0,1,0,2,1,0,1,0,142125
68,9724,5,7,1952,265,1140,1929,532,0,0,0,2,0,3,1,2,2,0,197600
120,17360,6,6,1949,340,782,1019,537,0,0,0,2,0,3,1,1,2,0,172500
50,7207,5,7,1958,0,858,858,0,0,1,0,1,0,2,1,0,0,0,116500
55,5350,3,2,1940,0,728,1306,0,0,0,0,1,0,3,1,0,0,0,76500
80,9920,5,5,1954,110,1056,1063,0,0,1,0,1,0,3,1,0,1,0,128000
80,9600,6,6,1955,164,1156,1520,0,0,1,0,1,0,3,1,2,1,0,153000
78,7800,5,6,1954,200,1268,1268,0,0,0,0,1,0,2,1,1,1,0,132000
75,11380,6,8,1966,216,1080,1128,0,0,1,0,1,0,2,1,1,1,0,178000
80,11600,5,5,1960,361,1105,1105,1169,0,0,0,2,0,5,2,0,2,0,154300
,19900,7,5,1970,287,1947,2207,0,0,1,0,2,0,3,1,1,2,0,180000
137,16492,6,6,1966,0,1517,1888,0,0,0,0,2,1,2,1,1,2,0,190000
70,8267,5,5,1958,0,1604,1604,0,0,0,0,2,0,4,2,0,2,0,135000
70,8197,7,5,2003,506,1480,1480,0,0,1,0,2,0,3,1,0,2,0,214000
,8050,5,5,1959,150,1143,1143,0,0,1,0,1,0,3,1,0,1,0,136000
70,10552,5,5,1959,0,1398,1700,0,0,0,1,1,1,4,1,1,2,0,165500
70,8400,5,6,1957,0,1314,1314,0,0,1,0,1,0,3,1,0,1,0,145000
73,8760,6,6,1959,220,1194,1194,0,0,1,0,1,0,3,1,0,1,0,148000
,12160,5,5,1959,180,1188,1188,0,0,1,0,1,0,3,1,0,2,0,142000
73,9300,5,5,1960,324,1268,1264,0,0,1,0,1,0,3,1,2,2,0,167500
87,10725,5,5,1959,91,1206,1206,0,0,0,0,1,0,3,1,0,1,0,108538
80,10032,6,5,1959,432,1244,1580,0,0,1,0,1,1,3,1,2,2,0,159500
60,8382,4,5,1956,0,832,832,505,0,0,0,1,0,3,1,0,1,0,108000
60,10950,5,7,1952,0,864,1064,0,0,0,1,1,0,2,1,0,1,0,135000
119,10895,5,6,1955,0,972,972,0,0,0,0,1,0,3,1,0,1,0,122500
70,13587,5,5,1958,0,988,988,0,0,1,0,1,0,2,1,0,1,0,119000
68,7922,5,7,1953,0,1057,1057,0,0,1,0,1,0,3,1,0,1,0,109000
65,7898,4,7,1920,0,576,985,0,0,0,1,1,0,2,1,0,2,0,105000
60,7200,5,7,1955,0,0,827,0,0,0,0,1,0,2,1,1,1,0,107500
85,10200,5,7,1954,104,1086,1086,0,0,1,0,1,0,3,1,0,2,0,144900
74,5868,5,7,1956,0,936,936,0,0,1,0,1,0,2,1,0,1,0,129000
78,17503,6,5,1948,0,912,912,546,0,0,1,1,0,3,1,1,1,0,97500
64,6979,6,5,1980,0,1056,1056,0,0,2,0,0,0,0,2,0,2,0,144000
,9830,5,7,1959,0,1063,1287,0,0,1,0,1,0,3,1,1,2,0,162000
96,11275,7,7,1967,300,710,1898,1080,0,0,0,2,1,5,1,1,2,0,242000
60,8064,6,8,1948,0,816,816,408,0,1,0,1,0,3,1,0,1,0,132000
75,7500,5,7,1959,0,1246,1246,0,0,1,0,1,1,3,1,0,1,0,154000
71,8520,5,4,1952,0,910,910,475,0,0,0,2,0,4,1,0,2,0,166000
60,7200,5,7,1951,0,900,900,0,0,0,1,1,0,3,1,0,2,0,134800
87,10000,6,6,1962,261,1116,1116,0,0,0,0,1,1,3,1,0,2,0,160000
81,7635,5,6,1960,0,1175,1175,0,0,0,0,1,1,3,1,0,2,0,148000
80,9760,6,7,1963,218,1395,1395,0,0,1,0,1,0,2,1,1,2,0,192000
70,7700,6,5,1966,351,756,1051,788,0,0,0,1,1,4,1,1,2,0,155000
60,4800,4,5,1900,771,709,1157,687,0,1,0,1,0,3,1,2,1,0,80400
55,8800,4,7,1910,0,576,792,348,0,0,0,1,0,3,1,0,0,0,96500
56,4485,5,7,1920,0,936,936,0,0,1,0,1,0,2,1,1,0,0,109500
56,8960,5,6,1927,0,1008,1028,0,0,0,0,1,0,2,1,1,2,0,115000
69,5805,5,7,1957,0,1347,1347,0,0,1,1,1,0,3,1,0,2,0,143000
60,5790,3,6,1915,0,840,840,765,0,0,0,2,0,3,2,0,1,0,107400
47,4608,4,6,1945,0,747,747,0,0,0,0,1,0,2,1,0,1,0,80000
60,7200,5,7,1940,294,788,804,0,0,1,0,1,0,2,1,2,1,0,119000
50,5500,5,7,1929,0,926,926,0,390,1,0,1,0,3,1,0,2,0,130000
50,6900,6,7,1938,0,827,827,424,0,0,0,1,0,3,1,0,1,0,119000
69,11851,5,7,1948,0,1027,1027,606,0,0,0,1,0,3,1,1,1,0,129000
,8239,5,6,1920,0,1008,1060,185,0,0,0,1,0,3,1,0,1,0,100000
68,9656,2,2,1923,0,678,832,0,0,0,0,1,0,2,1,1,2,0,12789
60,8520,6,8,1928,0,624,720,0,0,0,0,1,0,2,1,0,2,0,105900
60,9600,8,9,1900,0,930,930,636,0,0,0,2,0,3,1,0,1,0,150000
60,10800,5,6,1915,0,686,966,686,0,1,0,2,0,4,1,0,1,0,139000
50,9000,8,9,1890,0,346,1157,1111,0,0,0,3,0,3,1,0,2,0,240000
100,9045,5,3,1910,0,840,1128,1128,0,0,0,2,0,4,2,0,0,0,76500
90,7407,6,7,1957,0,912,1236,0,0,1,0,1,0,2,1,0,2,0,149700
60,7740,4,7,1910,0,622,741,622,0,0,0,1,0,3,1,0,2,0,125500
60,11340,4,6,1885,0,777,1246,1044,0,0,0,2,0,4,2,0,2,0,122500
60,10560,6,7,1922,0,738,868,602,0,0,0,1,1,2,1,0,2,0,140750
53,5830,5,6,1950,0,988,1030,582,0,0,0,1,1,3,1,0,1,0,128500
,7793,7,7,1922,0,1108,1160,908,0,0,0,1,1,3,1,1,1,0,209500
50,5000,4,7,1925,0,765,765,0,0,1,0,1,0,2,1,0,1,0,87000
50,6000,6,7,1939,0,608,608,524,0,1,0,1,0,2,1,0,1,0,134000
50,6000,6,6,1940,0,572,848,348,0,0,1,1,1,3,1,2,2,0,128000
53,6360,5,6,1942,300,835,955,498,0,0,0,1,1,3,1,2,1,0,132000
50,6000,6,7,1948,0,780,780,636,0,0,0,1,1,3,1,0,1,0,139900
52,6240,5,7,1936,0,528,548,492,0,0,0,1,0,2,1,0,2,0,123900
52,6240,5,5,1930,0,928,928,608,0,0,0,2,0,4,1,1,2,0,138400
51,6120,6,5,1923,0,1124,1068,0,0,1,0,1,0,2,1,1,1,0,109500
50,10300,7,6,1921,0,576,902,808,0,0,0,2,0,3,1,0,2,0,140000
57,8094,4,5,1915,0,888,888,1074,0,0,0,1,1,4,1,1,2,0,149500
60,12900,6,8,1912,0,780,780,780,0,0,0,1,1,3,1,0,0,0,159900
52,3068,6,8,1920,0,662,662,662,0,0,1,1,0,3,1,0,1,0,122000
110,8472,5,5,1963,0,816,816,0,0,1,0,1,0,2,1,0,2,0,110000
70,5600,4,5,1930,0,0,372,720,0,0,0,2,0,3,2,0,0,0,55000
76,7630,5,9,1900,0,360,1032,780,0,0,0,2,0,4,2,1,2,0,140000
,24090,7,7,1940,0,1032,1207,1196,0,0,0,2,0,4,1,2,1,0,244400
100,15263,5,5,1959,90,1422,1675,0,0,0,0,2,0,3,1,2,1,0,173000
72,10632,5,3,1917,0,689,725,499,0,0,0,1,1,3,1,0,1,0,107500
60,9900,5,4,1915,0,1212,1212,180,0,1,0,1,0,3,1,0,0,0,100000
65,6001,6,5,1940,0,600,600,319,0,0,0,1,0,3,1,0,1,0,95000
,6449,4,1,1907,0,707,942,942,0,0,0,1,1,4,1,0,0,0,93369
60,6048,5,7,1910,0,856,936,744,0,1,0,2,0,2,2,1,2,0,114900
54,6342,5,8,1875,0,780,780,240,0,0,0,1,0,2,1,0,0,0,94000
72,10773,4,3,1967,72,1832,1832,0,0,2,0,2,0,4,2,0,0,0,136000
72,10778,4,5,1968,0,1768,1768,0,0,0,0,2,0,4,2,0,0,0,136500
75,11625,5,4,1965,0,1039,1039,0,0,1,0,1,1,3,1,0,2,0,131500
,11341,5,6,1957,180,1392,1392,0,0,1,0,1,1,3,1,1,2,0,121500
70,8521,5,5,1967,0,912,912,0,0,0,0,1,0,3,1,1,1,0,125000
,8246,5,8,1968,0,1060,1060,0,0,1,0,1,0,3,1,1,1,0,154000
65,7800,5,7,1966,47,864,892,0,0,1,0,1,0,3,1,0,1,0,137900
80,9364,6,7,1969,143,663,663,689,0,0,0,1,1,4,1,0,1,0,158000
65,7832,5,5,1968,0,864,864,0,0,1,0,1,0,2,1,0,1,0,137250
,7424,5,5,1978,0,1319,1373,0,0,1,0,1,0,3,1,2,2,0,160250
86,11227,5,5,1968,0,720,720,720,0,0,0,1,1,4,1,2,2,0,163000
,11616,6,5,1978,328,672,672,714,0,0,0,2,1,3,1,1,2,0,158900
80,14000,7,5,1996,0,1306,1306,954,0,1,0,2,1,3,1,0,2,0,328000
,20062,7,7,1977,0,1420,1483,0,0,1,0,1,1,1,1,2,2,0,270000
94,9259,4,4,1927,0,660,756,0,0,0,0,1,0,2,1,0,2,0,85000
60,9600,4,7,1950,0,1067,1067,0,0,0,0,2,0,2,1,0,2,0,128000
,23595,7,6,1979,0,1332,1332,192,0,2,0,0,1,0,1,1,2,0,260000
,17082,6,5,1978,288,1117,1117,864,0,1,0,2,1,4,1,1,2,0,230000
124,18600,3,4,1938,0,972,1052,558,0,0,1,2,0,4,1,1,1,0,124000
85,10625,5,5,1920,0,458,835,0,0,0,0,1,0,2,1,0,1,0,83000
65,11479,6,7,1950,0,663,1074,0,0,1,0,1,0,3,1,1,1,0,144500
68,9571,5,6,1956,0,1144,1144,0,0,1,0,1,0,3,1,0,1,0,129000
50,9350,4,6,1947,0,756,1169,0,362,0,0,1,0,3,1,1,1,0,127000
75,9525,5,7,1954,0,1172,1172,0,0,1,0,1,0,3,1,0,1,0,128000
83,10420,6,5,2009,0,1212,1212,0,0,0,0,2,0,3,1,0,2,0,186000
44,17485,7,5,2009,96,1508,1508,0,0,1,0,1,0,1,1,2,2,0,308030
,11200,5,3,1964,0,1250,1298,0,0,0,0,2,0,3,1,0,2,0,114000
60,11100,4,7,1946,0,0,930,0,0,0,0,1,0,2,1,0,1,0,84900
77,9206,6,5,1985,336,741,977,755,0,0,0,2,1,3,1,1,2,0,178000
83,11980,7,5,1987,177,1433,1433,0,0,1,0,1,1,1,1,2,2,0,270000
87,12361,6,7,1993,85,946,964,838,0,0,1,2,1,3,1,1,4,0,218000
80,9938,7,5,1993,246,1050,1062,887,0,1,0,2,1,3,1,1,2,0,236000
73,9069,6,6,1992,0,936,996,0,0,1,0,1,0,2,1,0,2,0,147000
64,10475,8,5,2008,72,1694,1694,0,0,0,0,2,0,3,1,0,3,0,245350
64,6762,7,5,2006,24,1187,1208,0,0,1,0,2,0,2,1,0,2,0,206000
94,10402,7,5,2009,0,1226,1226,0,0,0,0,2,0,3,1,0,3,0,198900
64,7360,7,5,2010,80,1222,1222,0,0,0,0,2,0,2,1,0,2,0,187000
90,12376,7,5,1990,0,1673,1699,1523,0,1,0,3,0,5,1,2,3,0,320000
82,14235,6,8,1900,0,676,831,614,0,0,0,2,0,3,1,0,2,0,138500
80,8816,6,7,1971,80,1010,1052,0,0,1,0,1,0,3,1,0,2,0,155000
82,11105,5,5,1996,0,870,965,0,0,1,0,1,0,2,1,0,2,0,159000
,9337,7,5,1997,0,878,892,800,0,0,0,2,1,3,1,1,2,0,191000
70,8750,6,5,1998,116,804,804,878,0,0,0,2,1,3,1,0,2,0,200500
38,15240,5,8,1977,0,1026,1026,0,0,1,0,1,1,3,1,0,1,0,150000
,10900,6,7,1977,153,689,689,703,0,0,0,1,1,3,1,0,1,0,161750
75,10650,5,6,1976,0,894,894,0,0,1,0,1,0,3,1,0,1,0,128200
68,7480,5,6,1972,0,876,876,0,0,1,0,1,0,3,1,0,2,0,127000
80,10389,8,5,2003,320,1978,1978,0,0,1,0,2,1,3,1,1,3,0,318000
,11423,8,5,2001,479,1581,1601,0,0,1,0,2,0,3,1,1,2,0,272000
44,9548,7,6,2003,223,941,941,888,0,1,0,2,1,3,1,1,2,0,237000
75,9375,7,5,1997,0,1040,1044,1054,0,0,0,2,1,4,1,1,2,0,240000
48,12137,7,5,1998,442,1649,1661,0,0,0,0,2,0,3,1,0,2,0,224900
,4435,6,5,2003,170,848,848,0,0,1,0,1,0,1,1,0,2,0,143750
,4426,6,5,2004,169,848,848,0,0,1,0,1,0,1,1,0,2,0,143000
48,10635,8,5,2003,171,1657,1668,0,0,1,0,2,0,3,1,1,2,0,232000
70,8400,7,5,2004,109,1473,1484,0,0,1,0,2,0,3,1,0,2,0,213000
65,8773,7,5,2004,98,1414,1414,0,0,0,0,2,0,3,1,0,2,0,185500
67,8777,3,6,1945,0,0,640,0,0,0,0,1,0,2,1,0,1,0,84900
68,8842,5,6,1954,0,381,992,0,0,0,0,1,0,3,1,0,1,0,155891
75,9825,5,5,1965,0,0,1664,0,0,0,0,2,0,4,2,0,0,0,100000
60,10044,5,6,1968,0,1196,1196,0,0,1,0,1,0,3,1,0,1,0,144000
89,11792,4,5,1948,0,744,792,328,0,0,0,1,0,2,1,0,2,0,64000
65,6305,6,6,1975,0,1008,1096,0,0,1,0,1,0,3,1,1,1,0,125200
94,7819,6,5,1976,0,1029,1117,0,0,1,0,1,0,3,1,1,2,0,107000
64,6410,4,5,1958,0,960,960,0,0,0,0,1,0,3,1,0,0,0,90000
80,8546,4,5,2003,0,1121,1121,0,0,0,0,2,0,2,1,0,2,0,140000
52,8741,6,4,1945,0,735,798,689,0,0,0,1,1,3,1,1,1,0,113000
60,12180,4,4,1941,0,672,672,252,0,1,0,1,0,2,1,0,1,0,80000
68,8562,5,6,1957,145,1216,1526,0,0,0,0,1,0,4,1,1,1,0,144500
67,4853,5,6,1924,203,1107,1296,0,0,0,0,2,0,2,1,1,1,0,104000
66,6858,6,4,1915,0,806,841,806,0,1,0,1,1,4,1,0,1,0,128000
45,8212,3,3,1914,0,864,864,0,0,1,0,1,0,2,1,0,1,0,58500
50,5000,5,6,1924,0,1026,1026,665,0,0,0,2,0,3,1,1,1,0,127000
,7890,6,6,1939,0,856,856,0,0,1,0,1,0,2,1,1,2,0,126000
60,7200,4,6,1967,0,0,862,1788,0,0,0,3,0,6,2,0,0,0,160000
51,9839,5,2,1931,0,894,894,772,0,1,0,1,0,3,1,1,0,0,100000
50,9638,6,7,1919,0,804,1699,748,0,0,0,2,0,4,1,1,1,0,169000
78,10452,7,6,1941,371,1528,1225,908,0,1,0,1,1,4,1,2,1,0,257500
78,15600,5,6,1950,430,1032,1102,1075,0,0,0,2,1,5,2,0,2,0,215000
66,9042,7,9,1941,0,1152,1188,1152,0,0,0,2,0,4,1,2,1,0,266500
100,17500,7,8,1959,0,1902,1902,0,0,1,0,2,0,3,1,2,2,0,335000
85,19645,7,6,1994,44,423,896,756,0,1,0,2,1,3,1,0,2,0,203135
35,3907,8,6,1989,0,982,1034,0,0,1,0,1,0,1,1,1,2,0,185000
35,3907,8,5,1989,0,1191,1191,0,0,0,0,2,0,2,1,1,2,0,162500
100,15602,7,8,1959,0,1501,1801,0,0,1,0,2,0,1,1,2,2,0,289000
40,5436,4,8,1922,0,796,796,358,0,1,0,1,0,3,1,0,1,0,125500
58,8154,2,5,1941,0,480,540,0,0,0,0,1,0,1,1,0,1,0,82000
50,9140,6,5,1921,0,629,727,380,0,0,0,1,0,2,1,0,1,0,110000
60,7500,4,4,1920,0,698,698,430,0,0,0,1,0,2,1,0,2,0,68400
66,8712,4,7,1900,0,859,859,319,0,0,0,1,0,2,1,0,1,0,102776
66,8712,5,5,1952,0,540,1044,0,0,0,0,1,0,2,1,0,2,0,55993
66,8712,4,7,1896,0,756,952,0,0,0,0,1,0,3,1,0,1,0,50138
44,3811,8,5,2004,186,1594,1646,0,0,1,1,2,0,2,1,1,2,0,246000
85,11050,8,5,1998,0,1049,1036,880,0,1,0,2,1,3,1,1,3,0,254900
74,9620,6,7,1977,0,1243,1285,0,0,0,1,2,0,3,1,1,2,0,190000
